,0
0,20MICRONS
1,21STCENMGM
2,3IINFOTECH
3,3MINDIA
4,63MOONS
5,A2ZINFRA
6,AAKASH
7,AARTIDRUGS
8,AARTIIND
9,AARVEEDEN
10,AARVI
11,AAVAS
12,ABAN
13,ABB
14,ABBOTINDIA
15,ABCAPITAL
16,ABFRL
17,ABSLBANETF
18,ABSLNN50ET
19,ACC
20,ACCELYA
21,ACE
22,ADANIENT
23,ADANIGAS
24,ADANIGREEN
25,ADANIPORTS
26,ADANIPOWER
27,ADANITRANS
28,ADFFOODS
29,ADHUNIKIND
30,ADORWELD
31,ADROITINFO
32,ADSL
33,ADVANIHOTR
34,ADVENZYMES
35,AEGISCHEM
36,AFFLE
37,AGARIND
38,AGCNET
39,AGRITECH
40,AGROPHOS
41,AHLEAST
42,AHLUCONT
43,AHLWEST
44,AIAENG
45,AIONJSW
46,AIRAN
47,AJANTPHARM
48,AJMERA
49,AKSHARCHEM
50,AKSHOPTFBR
51,AKZOINDIA
52,ALANKIT
53,ALBERTDAVD
54,ALCHEM
55,ALEMBICLTD
56,ALICON
57,ALKALI
58,ALKEM
59,ALKYLAMINE
60,ALLCARGO
61,ALLSEC
62,ALMONDZ
63,ALOKINDS
64,ALPA
65,ALPHAGEO
66,ALPSINDUS
67,AMARAJABAT
68,AMBER
69,AMBIKCO
70,AMBUJACEM
71,AMDIND
72,AMJLAND
73,AMRUTANJAN
74,ANDHRACEMT
75,ANDHRAPAP
76,ANDHRSUGAR
77,ANGELBRKG
78,ANIKINDS
79,ANSALAPI
80,ANSALHSG
81,ANUP
82,APARINDS
83,APCL
84,APCOTEXIND
85,APEX
86,APLAPOLLO
87,APLLTD
88,APOLLO
89,APOLLOHOSP
90,APOLLOPIPE
91,APOLLOTYRE
92,APOLSINHOT
93,APTECHT
94,ARCHIDPLY
95,ARCHIES
96,ARENTERP
97,ARIES
98,ARIHANT
99,ARIHANTSUP
100,ARMANFIN
101,AROGRANITE
102,ARROWGREEN
103,ARSSINFRA
104,ARTEMISMED
105,ARVIND
106,ARVINDFASN
107,ARVSMART
108,ASAHIINDIA
109,ASAHISONG
110,ASAL
111,ASALCBR
112,ASHAPURMIN
113,ASHIANA
114,ASHOKA
115,ASHOKLEY
116,ASIANHOTNR
117,ASIANPAINT
118,ASIANTILES
119,ASPINWALL
120,ASTEC
121,ASTERDM
122,ASTRAL
123,ASTRAMICRO
124,ASTRAZEN
125,ASTRON
126,ATFL
127,ATLANTA
128,ATUL
129,ATULAUTO
130,AUBANK
131,AURIONPRO
132,AUROPHARMA
133,AUSOMENT
134,AUTOAXLES
135,AUTOIND
136,AUTOLITIND
137,AVADHSUGAR
138,AVANTIFEED
139,AVTNPL
140,AXISBANK
141,AXISCADES
142,AXISGOLD
143,AXISNIFTY
144,AYMSYNTEX
145,BAGFILMS
146,BAJAJ-AUTO
147,BAJAJCON
148,BAJAJELEC
149,BAJAJFINSV
150,BAJAJHIND
151,BAJAJHLDNG
152,BAJFINANCE
153,BALAJITELE
154,BALAMINES
155,BALKRISHNA
156,BALKRISIND
157,BALMLAWRIE
158,BALPHARMA
159,BALRAMCHIN
160,BANARBEADS
161,BANARISUG
162,BANCOINDIA
163,BANDHANBNK
164,BANG
165,BANKBARODA
166,BANKBEES
167,BANKINDIA
168,BANSWRAS
169,BASF
170,BASML
171,BATAINDIA
172,BAYERCROP
173,BBL
174,BBTC
175,BCG
176,BCP
177,BDL
178,BEL
179,BEML
180,BEPL
181,BERGEPAINT
182,BFINVEST
183,BFUTILITIE
184,BGRENERGY
185,BHAGERIA
186,BHAGYANGR
187,BHAGYAPROP
188,BHANDARI
189,BHARATFORG
190,BHARATGEAR
191,BHARATRAS
192,BHARATWIRE
193,BHARTIARTL
194,BHEL
195,BILENERGY
196,BINDALAGRO
197,BIOCON
198,BIRLACABLE
199,BIRLACORPN
200,BIRLAMONEY
201,BIRLATYRE
202,BKMINDST
203,BLISSGVS
204,BLS
205,BLUEDART
206,BLUESTARCO
207,BODALCHEM
208,BOMDYEING
209,BORORENEW
210,BOSCHLTD
211,BPCL
212,BPL
213,BRIGADE
214,BRITANNIA
215,BRNL
216,BSE
217,BSELINFRA
218,BSL
219,BSLGOLDETF
220,BSLNIFTY
221,BSOFT
222,BURNPUR
223,BYKE
224,CADILAHC
225,CAMLINFINE
226,CAMS
227,CANBK
228,CANFINHOME
229,CANTABIL
230,CAPACITE
231,CAPLIPOINT
232,CAPTRUST
233,CARBORUNIV
234,CAREERP
235,CARERATING
236,CASTROLIND
237,CCHHL
238,CCL
239,CDSL
240,CEATLTD
241,CEBBCO
242,CELEBRITY
243,CENTENKA
244,CENTEXT
245,CENTRALBK
246,CENTRUM
247,CENTUM
248,CENTURYPLY
249,CENTURYTEX
250,CERA
251,CEREBRAINT
252,CESC
253,CESCVENT
254,CGCL
255,CGPOWER
256,CHALET
257,CHAMBLFERT
258,CHEMBOND
259,CHEMCON
260,CHEMFAB
261,CHENNPETRO
262,CHOLAFIN
263,CHOLAHLDNG
264,CIGNITITEC
265,CIMMCO
266,CINELINE
267,CIPLA
268,CLNINDIA
269,CMICABLES
270,COALINDIA
271,COCHINSHIP
272,COFORGE
273,COLPAL
274,COMPINFO
275,COMPUSOFT
276,CONCOR
277,CONFIPET
278,CONSOFINVT
279,CONTROLPR
280,CORALFINAC
281,CORDSCABLE
282,COROMANDEL
283,COSMOFILMS
284,COUNCODOS
285,CPSEETF
286,CREATIVE
287,CREDITACC
288,CREST
289,CRISIL
290,CROMPTON
291,CSBBANK
292,CTE
293,CUB
294,CUBEXTUB
295,CUMMINSIND
296,CUPID
297,CYBERTECH
298,CYIENT
299,DAAWAT
300,DABUR
301,DALBHARAT
302,DALMIASUG
303,DAMODARIND
304,DATAMATICS
305,DBCORP
306,DBL
307,DBREALTY
308,DBSTOCKBRO
309,DCAL
310,DCBBANK
311,DCM
312,DCMNVL
313,DCMSHRIRAM
314,DCW
315,DECCANCE
316,DEEPAKFERT
317,DEEPAKNTR
318,DEEPENR
319,DELTACORP
320,DELTAMAGNT
321,DEN
322,DENORA
323,DFMFOODS
324,DHAMPURSUG
325,DHANBANK
326,DHANUKA
327,DHARSUGAR
328,DHFL
329,DHUNINV
330,DIAMONDYD
331,DICIND
332,DIGISPICE
333,DISHTV
334,DIVISLAB
335,DIXON
336,DLF
337,DLINKINDIA
338,DMART
339,DNAMEDIA
340,DOLAT
341,DOLLAR
342,DONEAR
343,DPSCLTD
344,DPWIRES
345,DQE
346,DREDGECORP
347,DRREDDY
348,DSSL
349,DTIL
350,DUCON
351,DWARKESH
352,DYNAMATECH
353,DYNPRO
354,EASTSILK
355,EBANK
356,EBBETF0423
357,EBBETF0425
358,EBBETF0430
359,EBBETF0431
360,EBIXFOREX
361,ECLERX
362,EDELWEISS
363,EICHERMOT
364,EIDPARRY
365,EIHAHOTELS
366,EIHOTEL
367,EIMCOELECO
368,ELECON
369,ELECTCAST
370,ELECTHERM
371,ELGIEQUIP
372,ELGIRUBCO
373,EMAMILTD
374,EMAMIPAP
375,EMKAY
376,EMMBI
377,ENDURANCE
378,ENERGYDEV
379,ENGINERSIN
380,ENIL
381,EQ30
382,EQUITAS
383,ERIS
384,ESABINDIA
385,ESCORTS
386,ESSELPACK
387,ESTER
388,EVEREADY
389,EVERESTIND
390,EXCELINDUS
391,EXIDEIND
392,EXPLEOSOL
393,FACT
394,FAIRCHEM
395,FCL
396,FCONSUMER
397,FCSSOFT
398,FDC
399,FEDERALBNK
400,FEL
401,FELDVR
402,FIEMIND
403,FILATEX
404,FINCABLES
405,FINEORG
406,FINPIPE
407,FLFL
408,FLUOROCHEM
409,FMGOETZE
410,FMNL
411,FORCEMOT
412,FORTIS
413,FOSECOIND
414,FRETAIL
415,FSC
416,FSL
417,GABRIEL
418,GAEL
419,GAIL
420,GALAXYSURF
421,GALLANTT
422,GALLISPAT
423,GAMMNINFRA
424,GANDHITUBE
425,GANECOS
426,GANESHHOUC
427,GANGESSECU
428,GARFIBRES
429,GATI
430,GAYAPROJ
431,GDL
432,GEECEE
433,GENUSPAPER
434,GENUSPOWER
435,GEOJITFSL
436,GEPIL
437,GESHIP
438,GET&D
439,GFLLIMITED
440,GFSTEELS
441,GHCL
442,GICHSGFIN
443,GICRE
444,GILLANDERS
445,GILLETTE
446,GINNIFILA
447,GIPCL
448,GKWLIMITED
449,GLAXO
450,GLENMARK
451,GLFL
452,GLOBALVECT
453,GLOBE
454,GLOBUSSPR
455,GMBREW
456,GMDCLTD
457,GMMPFAUDLR
458,GMRINFRA
459,GNA
460,GNFC
461,GOACARBON
462,GOCLCORP
463,GODFRYPHLP
464,GODREJAGRO
465,GODREJCP
466,GODREJIND
467,GODREJPROP
468,GOKEX
469,GOKUL
470,GOKULAGRO
471,GOLDBEES
472,GOLDENTOBC
473,GOLDIAM
474,GOLDSHARE
475,GOODLUCK
476,GOODYEAR
477,GPIL
478,GPPL
479,GPTINFRA
480,GRANULES
481,GRAPHITE
482,GRASIM
483,GRAVITA
484,GREAVESCOT
485,GREENLAM
486,GREENPANEL
487,GREENPLY
488,GREENPOWER
489,GRINDWELL
490,GRPLTD
491,GRSE
492,GSCLCEMENT
493,GSFC
494,GSPL
495,GSS
496,GTL
497,GTLINFRA
498,GTNIND
499,GTPL
500,GUFICBIO
501,GUJALKALI
502,GUJAPOLLO
503,GUJGASLTD
504,GULFOILLUB
505,GULFPETRO
506,GULPOLY
507,GVKPIL
508,HAL
509,HAPPSTMNDS
510,HARITASEAT
511,HARRMALAYA
512,HATSUN
513,HAVELLS
514,HBANKETF
515,HBLPOWER
516,HCC
517,HCG
518,HCL-INSYS
519,HCLTECH
520,HDFC
521,HDFCAMC
522,HDFCBANK
523,HDFCLIFE
524,HDFCMFGETF
525,HDFCNIFETF
526,HDFCSENETF
527,HEG
528,HEIDELBERG
529,HERCULES
530,HERITGFOOD
531,HEROMOTOCO
532,HESTERBIO
533,HEXAWARE
534,HFCL
535,HGINFRA
536,HGS
537,HIKAL
538,HIL
539,HILTON
540,HIMATSEIDE
541,HINDALCO
542,HINDCOMPOS
543,HINDCOPPER
544,HINDMOTORS
545,HINDNATGLS
546,HINDOILEXP
547,HINDPETRO
548,HINDUNILVR
549,HINDZINC
550,HIRECT
551,HISARMETAL
552,HITECH
553,HITECHGEAR
554,HLVLTD
555,HMVL
556,HNDFDS
557,HNGSNGBEES
558,HONAUT
559,HONDAPOWER
560,HOTELRUGBY
561,HOVS
562,HPL
563,HSCL
564,HSIL
565,HUBTOWN
566,HUDCO
567,IBMFNIFTY
568,IBREALEST
569,IBULHSGFIN
570,IBULISL
571,IBVENTURES
572,ICICI500
573,ICICIALPLV
574,ICICIB22
575,ICICIBANK
576,ICICIBANKN
577,ICICIBANKP
578,ICICIGI
579,ICICIGOLD
580,ICICILIQ
581,ICICILOVOL
582,ICICIM150
583,ICICIMCAP
584,ICICINF100
585,ICICINIFTY
586,ICICINV20
587,ICICINXT50
588,ICICIPRULI
589,ICICISENSX
590,ICICITECH
591,ICIL
592,ICRA
593,IDBI
594,IDBIGOLD
595,IDEA
596,IDFC
597,IDFCFIRSTB
598,IDFNIFTYET
599,IEX
600,IFBAGRO
601,IFBIND
602,IFCI
603,IFGLEXPOR
604,IGARASHI
605,IGL
606,IGPL
607,IIFL
608,IIFLSEC
609,IIFLWAM
610,IMAGICAA
611,IMFA
612,IMPAL
613,INDBANK
614,INDHOTEL
615,INDIACEM
616,INDIAGLYCO
617,INDIAMART
618,INDIANB
619,INDIANCARD
620,INDIANHUME
621,INDIGO
622,INDLMETER
623,INDNIPPON
624,INDOCO
625,INDORAMA
626,INDOSTAR
627,INDOTECH
628,INDOTHAI
629,INDOWIND
630,INDRAMEDCO
631,INDSWFTLAB
632,INDTERRAIN
633,INDUSINDBK
634,INEOSSTYRO
635,INFIBEAM
636,INFOBEAN
637,INFRABEES
638,INFRATEL
639,INFY
640,INGERRAND
641,INOXLEISUR
642,INOXWIND
643,INSECTICID
644,INSPIRISYS
645,INTELLECT
646,INTENTECH
647,INVENTURE
648,IOB
649,IOC
650,IOLCP
651,IPCALAB
652,IRB
653,IRCON
654,IRCTC
655,ISEC
656,ISFT
657,ITC
658,ITDC
659,ITDCEM
660,ITI
661,IVP
662,IVZINGOLD
663,IVZINNIFTY
664,IZMO
665,J&KBANK
666,JAGRAN
667,JAGSNPHARM
668,JAIBALAJI
669,JAICORPLTD
670,JAMNAAUTO
671,JASH
672,JAYAGROGN
673,JAYBARMARU
674,JAYSREETEA
675,JBCHEPHARM
676,JBFIND
677,JBMA
678,JCHAC
679,JINDALPHOT
680,JINDALPOLY
681,JINDALSAW
682,JINDALSTEL
683,JINDRILL
684,JINDWORLD
685,JISLDVREQS
686,JISLJALEQS
687,JIYAECO
688,JKCEMENT
689,JKIL
690,JKLAKSHMI
691,JKPAPER
692,JKTYRE
693,JMA
694,JMCPROJECT
695,JMFINANCIL
696,JMTAUTOLTD
697,JOCIL
698,JPASSOCIAT
699,JPINFRATEC
700,JPOLYINVST
701,JPPOWER
702,JSL
703,JSLHISAR
704,JSWENERGY
705,JSWHL
706,JSWSTEEL
707,JTEKTINDIA
708,JUBILANT
709,JUBLFOOD
710,JUBLINDS
711,JUMPNET
712,JUNIORBEES
713,JUSTDIAL
714,JYOTHYLAB
715,KABRAEXTRU
716,KAJARIACER
717,KAKATCEM
718,KALPATPOWR
719,KAMATHOTEL
720,KAMDHENU
721,KANANIIND
722,KANORICHEM
723,KANSAINER
724,KAPSTON
725,KARMAENG
726,KARURVYSYA
727,KAYA
728,KCP
729,KCPSUGIND
730,KDDL
731,KEC
732,KECL
733,KEI
734,KELLTONTEC
735,KENNAMET
736,KESORAMIND
737,KEYFINSERV
738,KHADIM
739,KHANDSE
740,KICL
741,KILITCH
742,KINGFA
743,KIOCL
744,KIRIINDUS
745,KIRLFER
746,KIRLOSBROS
747,KIRLOSENG
748,KIRLOSIND
749,KITEX
750,KKCL
751,KMSUGAR
752,KNRCON
753,KOKUYOCMLN
754,KOLTEPATIL
755,KOPRAN
756,KOTAKBANK
757,KOTAKBKETF
758,KOTAKGOLD
759,KOTAKNIFTY
760,KOTAKNV20
761,KOTAKPSUBK
762,KOTARISUG
763,KOTHARIPET
764,KOTHARIPRO
765,KPITTECH
766,KPRMILL
767,KRBL
768,KREBSBIO
769,KRIDHANINF
770,KSB
771,KSCL
772,KSK
773,KSL
774,KTKBANK
775,KUANTUM
776,KWALITY
777,L&TFH
778,LAKSHVILAS
779,LALPATHLAB
780,LAMBODHARA
781,LAOPALA
782,LASA
783,LAURUSLABS
784,LAXMIMACH
785,LEMONTREE
786,LFIC
787,LGBBROSLTD
788,LGBFORGE
789,LIBAS
790,LIBERTSHOE
791,LICHSGFIN
792,LICNETFGSC
